date,AAPL,MSFT,WMT,XOM
2010-12-10,;1.49791955617;,;0.902004454343;,;1.02395168223;,;1.07218718885;
2010-12-13,;1.50312066574;,;0.899034892353;,;1.02263118871;,;1.07484234982;
2010-12-14,;1.49653259362;,;0.911284335561;,;1.02715864668;,;1.07218718885;
2010-12-15,;1.49687933426;,;0.918708240535;,;1.02300849991;,;1.06720876203;
2010-12-16,;1.50104022191;,;0.923162583519;,;1.03055421357;,;1.07268503153;
2010-12-17,;1.49791955617;,;0.920193021529;,;1.02640406681;,;1.07202124129;
2010-12-20,;1.50554785021;,;0.91722345954;,;1.01433095895;,;1.07268503153;
2010-12-21,;1.51490984743;,;0.926132145509;,;1.01206726186;,;1.08015267176;
2010-12-22,;1.51941747573;,;0.929844097996;,;1.005653418;,;1.08131430468;
2010-12-23,;1.51213592233;,;0.933556050483;,;1.0111239945;,;1.08728841686;
2010-12-27,;1.51699029126;,;0.926132145509;,;1.01055808086;,;1.08446730833;
2010-12-28,;1.52080443828;,;0.923904974016;,;1.01376504531;,;1.09060736807;
2010-12-29,;1.51976421637;,;0.92279138827;,;1.02017888917;,;1.08977763027;
2010-12-30,;1.51213592233;,;0.918708240535;,;1.01999022294;,;1.08961168271;
